,index,Adversaire,Date,Lieu,Genre,Infos,Victoire,Score vainqueur,Score perdant,Score mi-temps vainqueur,Score mi-temps perdant,Année,Compétition
797,?refer=match&param=1401&GET_CAT=1,ESPAGNE,1989-06-14,SARAGOSSE,Amical,14/06/1989 à SARAGOSSE  (Espagne),False,114,109,65.0,52.0,1989,Amical
798,?refer=match&param=1402&GET_CAT=1,POLOGNE,1989-06-15,SARAGOSSE,Amical,15/06/1989 à SARAGOSSE  (Espagne),True,107,92,55.0,48.0,1989,Amical
799,?refer=match&param=1734&GET_CAT=1,BULGARIE,1989-06-20,ZAGREB,Championnat d'Europe,20/06/1989 à ZAGREB  (Croatie),True,109,78,59.0,30.0,1989,Championnat d'Europe 1989
800,?refer=match&param=1735&GET_CAT=1,GRECE,1989-06-21,ZAGREB,Championnat d'Europe,21/06/1989 à ZAGREB  (Croatie),False,80,74,42.0,33.0,1989,Championnat d'Europe 1989
801,?refer=match&param=1736&GET_CAT=1,SERBIE,1989-06-22,ZAGREB,Championnat d'Europe,22/06/1989 à ZAGREB  (Croatie),False,106,89,41.0,48.0,1989,Championnat d'Europe 1989
802,?refer=match&param=1737&GET_CAT=1,PAYS-BAS,1989-06-24,ZAGREB,Championnat d'Europe,24/06/1989 à ZAGREB  (Croatie),True,107,100,53.0,41.0,1989,Championnat d'Europe 1989
803,?refer=match&param=1738&GET_CAT=1,ESPAGNE,1989-06-25,ZAGREB,Championnat d'Europe,25/06/1989 à ZAGREB  (Croatie),False,95,87,45.0,40.0,1989,Championnat d'Europe 1989
804,?refer=match&param=2011&GET_CAT=1,ISRAEL,1989-11-22,TEL AVIV,Qualifications Championnat d'Europe,22/11/1989 à TEL AVIV  (Israël),False,99,93,55.0,46.0,1989,Qualifications Championnat d'Europe
805,?refer=match&param=2012&GET_CAT=1,TCHECOSLOVAQUIE,1989-11-25,SAINT QUENTIN,Qualifications Championnat d'Europe,25/11/1989 à SAINT QUENTIN  (France),True,93,72,43.0,35.0,1989,Qualifications Championnat d'Europe
806,?refer=match&param=2013&GET_CAT=1,URSS,1989-11-29,PARIS,Qualifications Championnat d'Europe,29/11/1989 à PARIS  (France),False,96,86,50.0,44.0,1989,Qualifications Championnat d'Europe
807,?refer=match&param=1403&GET_CAT=1,BRESIL,1989-12-30,PARIS,Amical,30/12/1989 à PARIS  (France),False,109,100,59.0,53.0,1989,Amical
808,?refer=match&param=1404&GET_CAT=1,BELGIQUE,1990-11-21,BRAINE,Amical,21/11/1990 à BRAINE  (France),True,83,65,31.0,32.0,1990,Amical
809,?refer=match&param=2014&GET_CAT=1,ISRAEL,1990-11-28,CHOLET,Qualifications Championnat d'Europe,28/11/1990 à CHOLET  (France),True,93,74,43.0,32.0,1990,Qualifications Championnat d'Europe
810,?refer=match&param=2015&GET_CAT=1,TCHECOSLOVAQUIE,1990-12-01,PRAGUE,Qualifications Championnat d'Europe,01/12/1990 à PRAGUE  (République Tchèque),True,115,106,63.0,44.0,1990,Qualifications Championnat d'Europe
811,?refer=match&param=2016&GET_CAT=1,URSS,1990-12-04,MOSCOU,Qualifications Championnat d'Europe,04/12/1990 à MOSCOU  (Russie),True,85,84,44.0,44.0,1990,Qualifications Championnat d'Europe
812,?refer=match&param=1405&GET_CAT=1,SERBIE,1991-05-22,DORTMUND,Amical,22/05/1991 à DORTMUND  (Allemagne),False,81,55,43.0,19.0,1991,Amical
813,?refer=match&param=1406&GET_CAT=1,ALLEMAGNE,1991-05-23,HAGEN,Amical,23/05/1991 à HAGEN  (Allemagne),False,79,71,44.0,43.0,1991,Amical
814,?refer=match&param=1407&GET_CAT=1,URSS,1991-05-24,HAGEN,Amical,24/05/1991 à HAGEN  (Allemagne),False,121,78,50.0,36.0,1991,Amical
815,?refer=match&param=1408&GET_CAT=1,ITALIE,1991-05-25,WUPPERTAL,Amical,25/05/1991 à WUPPERTAL  (Allemagne),False,105,87,43.0,39.0,1991,Amical
816,?refer=match&param=1409&GET_CAT=1,GRECE,1991-06-05,ATHENES,Amical,05/06/1991 à ATHENES  (Grèce),False,90,80,53.0,39.0,1991,Amical
817,?refer=match&param=1410&GET_CAT=1,URSS,1991-06-06,ATHENES,Amical,06/06/1991 à ATHENES  (Grèce),True,84,79,50.0,38.0,1991,Amical
818,?refer=match&param=1411&GET_CAT=1,SERBIE,1991-06-09,ATHENES,Amical,09/06/1991 à ATHENES  (Grèce),False,82,81,44.0,34.0,1991,Amical
819,?refer=match&param=1412&GET_CAT=1,BULGARIE,1991-06-13,PAU,Amical,13/06/1991 à PAU  (France),False,93,81,47.0,41.0,1991,Amical
820,?refer=match&param=1413&GET_CAT=1,URSS,1991-06-14,PAU,Amical,14/06/1991 à PAU  (France),True,103,96,54.0,48.0,1991,Amical
